Id,English,Hindi
437,Admit,"प्रवेश की अनुमति देना, आ सकना, खुलना, संभव होना, हो सकना, शरीक करना, शामिल करना, अनुमति देना, अन्दर आने देना, के लिए स्थान होना, भर्ती करना, अंदर आने की अनुमति देना, स्वीकार करना, मान लेना"
438,Admit of,गुंजाइश होना
439,Admittance,"भर्ती, प्रवेश, प्रवेशाधिकार"
440,Admittedly,"बेशक, वास्तव में, सच में"
441,Admonish,"सावधान करना, फटकारना, चेतावनी देना, सलाह देना"
442,Admonishing,"झिड़की भरा, आलोचनात्मक, उलाहना भरा"
443,Admonishment,"भर्त्सना, डाँट-फटकार, चेतावनी"
444,Admonition,"भर्त्सना, चेतावनी"
445,Admonitory,"झिड़की भरा, चेतावनीपूर्ण, आलोचनात्मक, उलाहना भरा"
446,Ad nauseam,घृणास्पद होने तक
447,Adobe,"कच्ची ईँट का मकान, कच्ची ईंट"
448,Adolescence,किशोरावस्था
449,Adolescent,"किशोरावस्था का, नवयुवती, नवयुवक, किशोर"
450,Adopt,"नाटकीकरण करना, धारण करना, अनुसरण करना, अपनाना, लेना, अपनाना, चुनना, गोद लेना"
451,Adoption,"अभिग्रहण, गोद लेना, अंगीकरण"
452,Adoptive,दत्तक
453,Adorable,बहुत ही आकर्षक
454,Adoration,"श्रद्धा, आराधना, गहरा प्रेम"
455,Adore,"जान छिड़कना, बहुत प्यार करना, बहुत ही प्रेम करना, बहुत ही पसंद करना"
456,Adoring,"आराधनापूर्ण, प्रेममय"
457,Adroitly,दक्षतापूर्वक
458,Adorn,"सँवारना, सजाना"
459,Adornment,अलंकार
460,Adrenal,"अधिवृक्की, अधिवृक्क"
461,Adrenalin,ऐड्रिनलिन
462,Adrift,"इधर-उधर, ग़लत, ढीला, दिशाहीन, पीछे, इधर-उधर बहता हुआ"
463,Adroit,"सुघड़, कुशल, निपुण"
464,Adroitness,"निपुणता, दक्षता"
465,Adulation,चापलूसी
466,Adulatory,"खुशामदी, चापलूसीपूर्ण, चाटुकीय"
467,Adult,"परिपक्व, बालिग, वयस्क, वयस्क, पूर्णविकसित प्राणी"
468,Adult education,"वयस्क शिक्षा, प्रौढ़ शिक्षा"
469,Adulterate,"मिलावटी, मिलावट करना"
470,Adulteration,मिलावट
471,Adulterer,परस्त्रीगामी
472,Adulteress,परपुरुषगामिनी
473,Adulterous,"विवाहेतर, व्यभिचारी"
474,Adultery,"अन्यगमन, परगमन"
475,Adulthood,वयस्कता
476,Adumbrate,"संकेत करना, इंगित करना, रूपरेखा प्रस्तुत करना, पूर्वाभास देना"
477,Adumbration,"रूपरेखा, पूर्वाभास"
478,Dutch treat,अपने खर्च पर खाना-पीना
479,Advanced,"बढ़ा हुआ, उन्नत, प्रगतिशील, विकसित, आगे रखना"
480,Advanced level,उच्च स्तरीय
481,Advance,"भाव बढ़ना, पदोन्नति करना, विकसित, प्रगतिशील, आगे बढ़ना, बेहतरी, सुधार, विकास करना, आगे बढ़ाना, बढ़ना, आगे निकलना, सुझाव, उन्नति, बढ़ाना, अग्रिम धन, आगे बढ़ाना, आगे करना, पेशगी, प्रगति, अग्रिम देना, मूल्यवृद्धि, प्रगति, अग्रगति, आगे बढना, पूर्व, विकास होना, बढ़ावा देना, विकास, अग्रिम"
482,Advancement,"सहायता, मदद, प्रोत्साहन, आगे बढ़ना, तरक्क़ी, प्रगति"
483,Advantaged,"लाभान्वित, कृपापात्र"
484,Advantage,"एडवान्टेज, श्रेष्ठता, लाभ, फ़ायदा, बढ़त, सहायता करना, लाभ पहुँचाना"
485,Advantageous,"उपयुक्त, अनुकूल, लाभदायक"
486,Advantageously,"फ़ायदेमंद ढंग से, लाभप्रद ढंग से"
